key,timestamp,temperature,humidity
H5074_office,2025-01-04 12:33:21,27.29,45.46
H5074_office,2025-01-04 12:33:37,27.27,45.01
H5074_office,2025-01-04 12:33:53,27.25,44.83
H5074_office,2025-01-04 12:34:11,27.26,44.8
H5074_office,2025-01-04 12:34:27,27.2,45.08
H5074_office,2025-01-04 12:34:43,27.35,44.64
H5074_office,2025-01-04 12:35:01,27.21,44.36
H5074_office,2025-01-04 12:35:17,27.2,44.62
H5074_office,2025-01-04 12:35:33,27.17,44.96
H5074_office,2025-01-04 12:35:49,27.08,44.7
H5074_office,2025-01-04 12:36:06,26.99,44.47
H5074_office,2025-01-04 12:36:24,27.0,44.86
H5074_office,2025-01-04 12:36:40,27.05,45.1
H5074_office,2025-01-04 12:36:56,27.07,45.03
H5074_office,2025-01-04 12:37:12,27.03,45.04
H5074_office,2025-01-04 12:37:28,27.04,44.9
H5074_office,2025-01-04 12:37:44,27.0,44.74
H5074_office,2025-01-04 12:38:00,26.96,44.89
H5074_office,2025-01-04 12:38:16,26.98,45.07
H5074_office,2025-01-04 12:38:34,26.98,45.09
H5074_office,2025-01-04 12:38:52,26.95,45.42
H5074_office,2025-01-04 12:39:08,26.94,45.07
H5074_office,2025-01-04 12:39:25,26.94,44.96
H5074_office,2025-01-04 12:39:41,26.91,44.93
H5074_office,2025-01-04 12:39:57,26.88,45.13
H5074_office,2025-01-04 12:40:15,26.88,45.04
H5074_office,2025-01-04 12:40:33,26.9,45.02
H5074_office,2025-01-04 12:40:49,26.88,44.94
H5074_office,2025-01-04 12:41:05,26.87,44.82
H5074_office,2025-01-04 12:41:21,26.87,44.62
H5074_office,2025-01-04 12:41:37,26.87,44.86
H5074_office,2025-01-04 12:41:53,26.87,44.77
H5074_office,2025-01-04 12:42:09,26.85,44.32
H5074_office,2025-01-04 12:42:25,26.84,44.62
H5074_office,2025-01-04 12:42:42,26.82,44.7
H5074_office,2025-01-04 12:43:02,26.85,44.48
H5074_office,2025-01-04 12:43:18,26.81,44.09
H5074_office,2025-01-04 12:43:34,26.8,44.38
H5074_office,2025-01-04 12:43:54,26.8,44.38
H5074_office,2025-01-04 12:44:10,26.8,44.04
H5074_office,2025-01-04 12:44:28,26.78,43.66
H5074_office,2025-01-04 12:44:44,26.74,44.06
H5074_office,2025-01-04 12:45:00,26.75,44.23
H5074_office,2025-01-04 12:45:16,26.77,44.41
H5074_office,2025-01-04 12:45:32,26.77,44.47
H5074_office,2025-01-04 12:45:48,26.73,44.06
H5074_office,2025-01-04 12:46:07,26.71,43.56
H5074_office,2025-01-04 12:46:23,26.72,43.86
H5074_office,2025-01-04 12:46:41,26.71,43.58
H5074_office,2025-01-04 12:46:57,26.73,43.54
H5074_office,2025-01-04 12:47:13,26.74,44.2
H5074_office,2025-01-04 12:47:29,26.76,44.52
H5074_office,2025-01-04 12:47:45,26.69,44.61
H5074_office,2025-01-04 12:48:01,26.69,44.34
H5074_office,2025-01-04 12:48:17,26.69,44.37
H5074_office,2025-01-04 12:48:33,26.69,44.19
H5074_office,2025-01-04 12:48:49,26.71,43.64
H5074_office,2025-01-04 12:49:05,26.68,44.41
H5074_office,2025-01-04 12:49:24,26.69,44.08
H5074_office,2025-01-04 12:49:40,26.68,44.6
H5074_office,2025-01-04 12:49:56,26.67,44.2
H5074_office,2025-01-04 12:50:12,26.69,44.45
H5074_office,2025-01-04 12:50:30,26.71,44.49
H5074_office,2025-01-04 12:50:46,26.69,44.78
H5074_office,2025-01-04 12:51:04,26.69,44.67
H5074_office,2025-01-04 12:51:20,26.68,44.64
H5074_office,2025-01-04 12:51:36,26.71,44.34
H5074_office,2025-01-04 12:51:52,26.69,44.21
H5074_office,2025-01-04 12:52:08,26.67,44.0
H5074_office,2025-01-04 12:52:24,26.63,44.07
H5074_office,2025-01-04 12:52:41,26.64,43.79
H5074_office,2025-01-04 12:52:57,26.65,43.53
H5074_office,2025-01-04 12:53:15,26.65,43.69
H5074_office,2025-01-04 12:53:31,26.64,43.69
H5074_office,2025-01-04 12:53:47,26.61,43.49
H5074_office,2025-01-04 12:54:03,26.61,43.37
H5074_office,2025-01-04 12:54:21,26.65,43.31
H5074_office,2025-01-04 12:54:37,26.65,43.18
