2025-01-02 17:00:07,667 - GoveeSensor - INFO - Data logged: Temp=30.56°C, Humidity=39.56%
2025-01-02 17:00:11,690 - GoveeSensor - INFO - Data logged: Temp=30.56°C, Humidity=39.56%
2025-01-02 17:00:13,711 - GoveeSensor - INFO - Data logged: Temp=30.52°C, Humidity=39.65%
2025-01-02 17:00:15,711 - GoveeSensor - INFO - Data logged: Temp=30.52°C, Humidity=39.65%
2025-01-02 17:00:19,736 - GoveeSensor - INFO - Data logged: Temp=30.52°C, Humidity=39.65%
2025-01-02 17:00:21,753 - GoveeSensor - INFO - Data logged: Temp=30.51°C, Humidity=38.96%
2025-01-02 17:00:23,752 - GoveeSensor - INFO - Data logged: Temp=30.51°C, Humidity=38.96%
2025-01-02 17:00:27,776 - GoveeSensor - INFO - Data logged: Temp=30.51°C, Humidity=38.96%
2025-01-02 17:00:29,803 - GoveeSensor - INFO - Data logged: Temp=30.44°C, Humidity=38.79%
2025-01-02 17:00:31,795 - GoveeSensor - INFO - Data logged: Temp=30.44°C, Humidity=38.79%
2025-01-02 17:00:33,817 - GoveeSensor - INFO - Data logged: Temp=30.44°C, Humidity=38.79%
2025-01-02 17:00:35,815 - GoveeSensor - INFO - Data logged: Temp=30.44°C, Humidity=38.79%
2025-01-02 17:00:37,832 - GoveeSensor - INFO - Data logged: Temp=30.46°C, Humidity=38.59%
2025-01-02 17:00:39,834 - GoveeSensor - INFO - Data logged: Temp=30.46°C, Humidity=38.59%
2025-01-02 17:00:41,855 - GoveeSensor - INFO - Data logged: Temp=30.46°C, Humidity=38.59%
2025-01-02 17:00:43,852 - GoveeSensor - INFO - Data logged: Temp=30.46°C, Humidity=38.59%
2025-01-02 17:00:45,871 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.51%
2025-01-02 17:00:49,892 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.51%
2025-01-02 17:00:51,901 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.51%
2025-01-02 17:00:55,910 - GoveeSensor - INFO - Data logged: Temp=30.42°C, Humidity=38.35%
2025-01-02 17:00:57,931 - GoveeSensor - INFO - Data logged: Temp=30.42°C, Humidity=38.35%
2025-01-02 17:00:59,929 - GoveeSensor - INFO - Data logged: Temp=30.42°C, Humidity=38.35%
2025-01-02 17:01:01,952 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.27%
2025-01-02 17:01:03,949 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.27%
2025-01-02 17:01:05,970 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.27%
2025-01-02 17:01:07,970 - GoveeSensor - INFO - Data logged: Temp=30.41°C, Humidity=38.27%
2025-01-02 17:02:54,431 - GoveeSensor - INFO - Started monitoring device: A4:C1:38:9F:66:65
2025-01-02 17:02:54,522 - GoveeSensor - INFO - Data logged: Temp=30.28°C, Humidity=39.21%
2025-01-02 17:02:58,583 - GoveeSensor - INFO - Data logged: Temp=30.28°C, Humidity=39.21%
2025-01-02 17:03:00,541 - GoveeSensor - INFO - Data logged: Temp=30.28°C, Humidity=39.21%
2025-01-02 17:03:02,562 - GoveeSensor - INFO - Data logged: Temp=30.25°C, Humidity=38.97%
2025-01-02 17:03:04,564 - GoveeSensor - INFO - Data logged: Temp=30.25°C, Humidity=38.97%
2025-01-02 17:03:06,585 - GoveeSensor - INFO - Data logged: Temp=30.25°C, Humidity=38.97%
2025-01-02 17:03:10,603 - GoveeSensor - INFO - Data logged: Temp=30.21°C, Humidity=39.11%
2025-01-02 17:03:12,602 - GoveeSensor - INFO - Data logged: Temp=30.21°C, Humidity=39.11%
2025-01-02 17:03:14,623 - GoveeSensor - INFO - Data logged: Temp=30.21°C, Humidity=39.11%
2025-01-02 17:03:16,624 - GoveeSensor - INFO - Data logged: Temp=30.21°C, Humidity=39.11%
2025-01-02 17:03:18,645 - GoveeSensor - INFO - Data logged: Temp=30.24°C, Humidity=38.51%
2025-01-02 17:03:20,646 - GoveeSensor - INFO - Data logged: Temp=30.24°C, Humidity=38.51%
2025-01-02 17:03:22,668 - GoveeSensor - INFO - Data logged: Temp=30.24°C, Humidity=38.51%
2025-01-02 17:03:24,669 - GoveeSensor - INFO - Data logged: Temp=30.24°C, Humidity=38.51%
2025-01-02 17:05:12,330 - GoveeSensor - INFO - Started monitoring device: A4:C1:38:9F:66:65
2025-01-02 17:06:13,534 - GoveeSensor - INFO - Data logged: Temp=30.09°C, Humidity=39.24%
2025-01-02 17:07:13,839 - GoveeSensor - INFO - Data logged: Temp=30.08°C, Humidity=38.98%
2025-01-02 17:08:14,146 - GoveeSensor - INFO - Data logged: Temp=30.06°C, Humidity=38.59%
2025-01-02 17:09:16,467 - GoveeSensor - INFO - Data logged: Temp=29.98°C, Humidity=38.51%
2025-01-02 17:10:16,774 - GoveeSensor - INFO - Data logged: Temp=29.93°C, Humidity=38.5%
2025-01-02 17:11:19,078 - GoveeSensor - INFO - Data logged: Temp=29.92°C, Humidity=38.54%
2025-01-02 17:12:19,383 - GoveeSensor - INFO - Data logged: Temp=29.9°C, Humidity=39.82%
2025-01-02 17:13:19,681 - GoveeSensor - INFO - Data logged: Temp=29.8°C, Humidity=39.25%
2025-01-02 17:14:19,992 - GoveeSensor - INFO - Data logged: Temp=29.76°C, Humidity=38.84%
2025-01-02 17:15:20,305 - GoveeSensor - INFO - Data logged: Temp=29.71°C, Humidity=39.06%
2025-01-02 17:16:20,612 - GoveeSensor - INFO - Data logged: Temp=29.69°C, Humidity=39.07%
2025-01-02 17:17:20,923 - GoveeSensor - INFO - Data logged: Temp=29.65°C, Humidity=38.65%
2025-01-02 17:18:21,309 - GoveeSensor - INFO - Data logged: Temp=29.66°C, Humidity=39.03%
2025-01-02 17:19:21,526 - GoveeSensor - INFO - Data logged: Temp=29.63°C, Humidity=39.16%
2025-01-02 17:20:21,843 - GoveeSensor - INFO - Data logged: Temp=29.63°C, Humidity=38.9%
2025-01-02 17:21:24,165 - GoveeSensor - INFO - Data logged: Temp=29.62°C, Humidity=39.09%
2025-01-02 17:22:24,472 - GoveeSensor - INFO - Data logged: Temp=29.61°C, Humidity=39.24%
2025-01-02 17:23:24,774 - GoveeSensor - INFO - Data logged: Temp=29.62°C, Humidity=39.42%
2025-01-02 17:24:25,090 - GoveeSensor - INFO - Data logged: Temp=29.61°C, Humidity=39.73%
2025-01-02 17:25:25,403 - GoveeSensor - INFO - Data logged: Temp=29.58°C, Humidity=38.85%
2025-01-02 17:26:25,720 - GoveeSensor - INFO - Data logged: Temp=29.57°C, Humidity=38.8%
2025-01-02 17:27:28,026 - GoveeSensor - INFO - Data logged: Temp=29.56°C, Humidity=38.85%
