key,timestamp,temperature,humidity
H5074_office,2025-01-02 17:47:14,29.5,39.38
H5074_office,2025-01-02 18:06:58,29.43,40.2
H5074_office,2025-01-02 18:07:14,29.45,39.87
H5074_office,2025-01-02 18:07:32,29.43,39.83
H5074_office,2025-01-02 18:07:48,29.46,40.55
H5074_office,2025-01-02 18:08:04,29.5,40.76
H5074_office,2025-01-02 18:08:20,29.43,40.92
H5074_office,2025-01-02 18:08:40,29.47,41.85
H5074_office,2025-01-02 18:08:56,29.46,42.31
H5074_office,2025-01-02 18:09:12,29.45,42.03
H5074_office,2025-01-02 18:09:28,29.44,41.49
H5074_office,2025-01-02 18:09:44,29.43,40.98
H5074_office,2025-01-02 18:10:01,29.49,40.85
H5074_office,2025-01-02 18:10:17,29.44,40.64
H5074_office,2025-01-02 18:10:33,29.46,40.62
H5074_office,2025-01-02 18:10:49,29.44,40.69
H5074_office,2025-01-02 18:11:05,29.46,41.29
H5074_office,2025-01-02 18:11:23,29.43,40.63
H5074_office,2025-01-02 18:11:39,29.45,41.32
H5074_office,2025-01-02 18:11:55,29.44,41.92
H5074_office,2025-01-02 18:12:11,29.45,43.02
H5074_office,2025-01-02 18:12:27,29.41,43.6
H5074_office,2025-01-02 18:12:43,29.45,43.36
H5074_office,2025-01-02 18:13:01,29.41,42.66
H5074_office,2025-01-02 18:13:18,29.42,42.43
H5074_office,2025-01-02 18:13:34,29.41,41.61
H5074_office,2025-01-02 18:13:50,29.44,41.34
H5074_office,2025-01-02 18:14:08,29.45,41.24
H5074_office,2025-01-02 18:14:24,29.44,40.77
H5074_office,2025-01-02 18:14:40,29.41,40.45
H5074_office,2025-01-02 18:14:56,29.41,40.53
H5074_office,2025-01-02 18:15:12,29.45,40.5
H5074_office,2025-01-02 18:15:28,29.41,40.52
H5074_office,2025-01-02 18:15:46,29.41,40.78
H5074_office,2025-01-02 18:16:02,29.43,40.9
H5074_office,2025-01-02 18:16:18,29.42,40.74
H5074_office,2025-01-02 18:16:35,29.44,41.93
H5074_office,2025-01-02 18:16:55,29.41,42.53
H5074_office,2025-01-02 18:17:15,29.4,42.22
H5074_office,2025-01-02 18:17:31,29.43,41.81
H5074_office,2025-01-02 18:17:47,29.41,41.38
H5074_office,2025-01-02 18:18:03,29.4,40.72
H5074_office,2025-01-02 18:18:19,29.41,40.37
H5074_office,2025-01-02 18:18:35,29.39,40.17
H5074_office,2025-01-02 18:18:51,29.45,39.96
H5074_office,2025-01-02 18:19:15,29.38,39.75
H5074_office,2025-01-02 18:19:31,29.39,39.72
H5074_office,2025-01-02 18:19:48,29.39,39.51
H5074_office,2025-01-02 18:20:04,29.38,39.71
H5074_office,2025-01-02 18:20:22,29.36,39.7
H5074_office,2025-01-02 18:20:38,29.38,39.77
H5074_office,2025-01-02 18:20:54,29.36,39.43
H5074_office,2025-01-02 18:21:10,29.37,39.22
H5074_office,2025-01-02 18:21:26,29.37,39.15
H5074_office,2025-01-02 18:21:42,29.38,39.34
H5074_office,2025-01-02 18:21:58,29.38,39.55
H5074_office,2025-01-02 18:22:14,29.36,39.51
H5074_office,2025-01-02 18:22:30,29.38,39.47
H5074_office,2025-01-02 18:22:46,29.37,39.04
H5074_office,2025-01-02 18:23:07,29.36,39.55
H5074_office,2025-01-02 18:23:25,29.37,39.23
H5074_office,2025-01-02 18:23:41,29.36,39.49
H5074_office,2025-01-02 18:23:57,29.36,39.54
H5074_office,2025-01-02 18:24:13,29.33,39.7
H5074_office,2025-01-02 18:24:29,29.36,39.32
H5074_office,2025-01-02 18:24:45,29.33,38.98
H5074_office,2025-01-02 18:25:01,29.34,39.37
H5074_office,2025-01-02 18:25:17,29.33,39.24
H5074_office,2025-01-02 18:25:35,29.34,38.79
H5074_office,2025-01-02 18:25:51,29.33,39.05
H5074_office,2025-01-02 18:26:07,29.31,38.98
H5074_office,2025-01-02 18:26:24,29.31,38.81
H5074_office,2025-01-02 18:26:40,29.32,39.33
H5074_office,2025-01-02 18:26:58,29.29,39.5
H5074_office,2025-01-02 18:27:14,29.28,39.37
H5074_office,2025-01-02 18:27:30,29.3,39.52
H5074_office,2025-01-02 18:27:46,29.29,39.75
H5074_office,2025-01-02 18:28:02,29.29,39.69
H5074_office,2025-01-02 18:28:18,29.32,39.74
H5074_office,2025-01-02 18:28:34,29.29,39.71
H5074_office,2025-01-02 18:28:50,29.26,39.7
H5074_office,2025-01-02 18:29:06,29.29,39.73
H5074_office,2025-01-02 18:29:22,29.28,39.72
H5074_office,2025-01-02 18:29:39,29.28,39.45
H5074_office,2025-01-02 18:29:57,29.29,39.42
H5074_office,2025-01-02 18:30:13,29.27,39.59
H5074_office,2025-01-02 18:30:29,29.29,39.45
H5074_office,2025-01-02 18:30:45,29.29,39.42
H5074_office,2025-01-02 18:31:01,29.3,39.47
H5074_office,2025-01-02 18:31:17,29.3,39.44
H5074_office,2025-01-02 18:31:33,29.27,39.54
H5074_office,2025-01-02 18:31:49,29.31,39.57
H5074_office,2025-01-02 18:32:05,29.28,39.61
H5074_office,2025-01-02 18:32:21,29.29,39.56
H5074_office,2025-01-02 18:32:37,29.31,39.64
H5074_office,2025-01-02 18:32:53,29.31,39.83
H5074_office,2025-01-02 18:33:12,29.31,39.71
H5074_office,2025-01-02 18:33:28,29.29,39.67
H5074_office,2025-01-02 18:33:44,29.28,39.69
H5074_office,2025-01-02 18:34:00,29.29,39.75
H5074_office,2025-01-02 18:34:18,29.28,39.82
H5074_office,2025-01-02 18:34:34,29.29,40.04
H5074_office,2025-01-02 18:34:50,29.29,40.08
H5074_office,2025-01-02 18:35:08,29.33,40.27
H5074_office,2025-01-02 18:35:24,29.28,40.11
H5074_office,2025-01-02 18:35:40,29.31,40.13
H5074_office,2025-01-02 18:35:56,29.31,40.22
